Sector,Industry,LastSale
Basic Industries,Water Supply,23.36
Basic Industries,Water Supply,24.19
Basic Industries,Water Supply,32.83
Basic Industries,Water Supply,72.5
Basic Industries,Textiles,5.4
Basic Industries,Telecommunications Equipment,2.4501
Basic Industries,Telecommunications Equipment,5.3366
Basic Industries,Steel/Iron Ore,2.0599
Basic Industries,Steel/Iron Ore,20.24
Basic Industries,Steel/Iron Ore,22.05
Basic Industries,Steel/Iron Ore,25.16
Basic Industries,Steel/Iron Ore,45.41
Basic Industries,Specialty Chemicals,3.5
Basic Industries,Precious Metals,0.22
Basic Industries,Precious Metals,1.43
Basic Industries,Precious Metals,1.8075
Basic Industries,Precious Metals,2
Basic Industries,Precious Metals,8.91
Basic Industries,Precious Metals,14.55
Basic Industries,Precious Metals,17.53
Basic Industries,Precious Metals,71.22
Basic Industries,Precious Metals,76.37
Basic Industries,Paper,18.42
Basic Industries,Other Specialty Stores,13.33
Basic Industries,Miscellaneous,0.1489
Basic Industries,Miscellaneous,0.3201
Basic Industries,Miscellaneous,9.66
Basic Industries,Miscellaneous,19.66
Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),4.28
Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),78
Basic Industries,Military/Government/Technical,6
Basic Industries,Military/Government/Technical,11.71
Basic Industries,Military/Government/Technical,13.27
Basic Industries,Metal Fabrications,2.6
Basic Industries,Metal Fabrications,19.46
Basic Industries,Metal Fabrications,20.48
Basic Industries,Major Chemicals,0.8957
Basic Industries,Major Chemicals,0.92
Basic Industries,Major Chemicals,1
Basic Industries,Major Chemicals,1.63
Basic Industries,Major Chemicals,1.88
Basic Industries,Major Chemicals,2.25
Basic Industries,Major Chemicals,3.91
Basic Industries,Major Chemicals,7.7
Basic Industries,Major Chemicals,8.41
Basic Industries,Major Chemicals,9.05
Basic Industries,Major Chemicals,11.69
Basic Industries,Major Chemicals,14.5
Basic Industries,Major Chemicals,17.47
Basic Industries,Major Chemicals,17.61
Basic Industries,Major Chemicals,28.48
Basic Industries,Major Chemicals,72.7
Basic Industries,Major Chemicals,81.86
Basic Industries,Major Chemicals,105.66
Basic Industries,Major Chemicals,162.81
Basic Industries,Homebuilding,10.3
Basic Industries,Homebuilding,235.63
Basic Industries,Home Furnishings,52.35
Basic Industries,Forest Products,34.49
Basic Industries,Forest Products,56.74
Basic Industries,Forest Products,75
Basic Industries,Environmental Services,3.25
Basic Industries,Environmental Services,4.46
Basic Industries,Environmental Services,54.42
Basic Industries,Engineering & Construction,0.3396
Basic Industries,Engineering & Construction,3.8101
Basic Industries,Engineering & Construction,10.8
Basic Industries,Engineering & Construction,23.73
Basic Industries,Containers/Packaging,1.4
Basic Industries,Aluminum,9.97
Basic Industries,Agricultural Chemicals,0.6801
Basic Industries,Agricultural Chemicals,1.79
Basic Industries,Agricultural Chemicals,2.9099
Basic Industries,Agricultural Chemicals,4.74
Basic Industries,Agricultural Chemicals,14.52
Capital Goods,Steel/Iron Ore,34.16
Capital Goods,Steel/Iron Ore,34.21
Capital Goods,Steel/Iron Ore,42.97
Capital Goods,Specialty Chemicals,1.79
Capital Goods,Specialty Chemicals,45.85
Capital Goods,Railroads,16.95
Capital Goods,Railroads,46.99
Capital Goods,Pollution Control Equipment,1.35
Capital Goods,Pollution Control Equipment,1.65
Capital Goods,Pollution Control Equipment,7.79
Capital Goods,Pollution Control Equipment,9.15
Capital Goods,Ordnance And Accessories,14.61
Capital Goods,Ordnance And Accessories,62.67
Capital Goods,Miscellaneous,2.95
Capital Goods,Military/Government/Technical,13.93
Capital Goods,Military/Government/Technical,40.46
Capital Goods,Military/Government/Technical,127.41
Capital Goods,Metal Fabrications,1.35
Capital Goods,Metal Fabrications,1.87
Capital Goods,Metal Fabrications,2.19
Capital Goods,Metal Fabrications,3.1
Capital Goods,Metal Fabrications,3.52
Capital Goods,Metal Fabrications,3.9
Capital Goods,Metal Fabrications,7.66
Capital Goods,Metal Fabrications,10.01
Capital Goods,Metal Fabrications,15.07
Capital Goods,Metal Fabrications,42.67
Capital Goods,Metal Fabrications,46.89
Capital Goods,Metal Fabrications,47.21
Capital Goods,Metal Fabrications,52.35
Capital Goods,Metal Fabrications,72.91
Capital Goods,Metal Fabrications,106.56
Capital Goods,Metal Fabrications,154.8
Capital Goods,Medical Specialities,0.4154
Capital Goods,Medical Specialities,19.58
Capital Goods,Medical Specialities,27.2
Capital Goods,Marine Transportation,34.14
Capital Goods,Marine Transportation,51.33
Capital Goods,Industrial Specialties,9.24
Capital Goods,Industrial Specialties,12.48
Capital Goods,Industrial Specialties,29.82
Capital Goods,Industrial Specialties,35
Capital Goods,Industrial Specialties,38.51
Capital Goods,Industrial Specialties,38.79
Capital Goods,Industrial Specialties,44.14
Capital Goods,Industrial Specialties,69.04
Capital Goods,Industrial Machinery/Components,0.12
Capital Goods,Industrial Machinery/Components,0.25
Capital Goods,Industrial Machinery/Components,1.2119
Capital Goods,Industrial Machinery/Components,1.32
Capital Goods,Industrial Machinery/Components,1.3801
Capital Goods,Industrial Machinery/Components,1.44
Capital Goods,Industrial Machinery/Components,1.6
Capital Goods,Industrial Machinery/Components,2.13
Capital Goods,Industrial Machinery/Components,2.639
Capital Goods,Industrial Machinery/Components,2.84
Capital Goods,Industrial Machinery/Components,2.8864
Capital Goods,Industrial Machinery/Components,3.15
Capital Goods,Industrial Machinery/Components,3.16
Capital Goods,Industrial Machinery/Components,3.21
Capital Goods,Industrial Machinery/Components,3.65
Capital Goods,Industrial Machinery/Components,3.81
Capital Goods,Industrial Machinery/Components,4.07
Capital Goods,Industrial Machinery/Components,5.17
Capital Goods,Industrial Machinery/Components,5.5
Capital Goods,Industrial Machinery/Components,5.87
Capital Goods,Industrial Machinery/Components,9.91
Capital Goods,Industrial Machinery/Components,9.98
Capital Goods,Industrial Machinery/Components,11.5
Capital Goods,Industrial Machinery/Components,13.19
Capital Goods,Industrial Machinery/Components,20.49
Capital Goods,Industrial Machinery/Components,23.16
Capital Goods,Industrial Machinery/Components,26.91
Capital Goods,Industrial Machinery/Components,28.13
Capital Goods,Industrial Machinery/Components,30.71
Capital Goods,Industrial Machinery/Components,34.35
Capital Goods,Industrial Machinery/Components,38.65
Capital Goods,Industrial Machinery/Components,40.35
Capital Goods,Industrial Machinery/Components,41.16
Capital Goods,Industrial Machinery/Components,41.58
Capital Goods,Industrial Machinery/Components,45.26
Capital Goods,Industrial Machinery/Components,48.56
Capital Goods,Industrial Machinery/Components,50.58
Capital Goods,Industrial Machinery/Components,53.72
Capital Goods,Industrial Machinery/Components,59.14
Capital Goods,Industrial Machinery/Components,59.15
Capital Goods,Industrial Machinery/Components,59.96
Capital Goods,Industrial Machinery/Components,68.6
Capital Goods,Industrial Machinery/Components,77.2
Capital Goods,Industrial Machinery/Components,136.36
Capital Goods,Industrial Machinery/Components,181.52
Capital Goods,Homebuilding,2.16
Capital Goods,Homebuilding,5.49
Capital Goods,Homebuilding,9.92
Capital Goods,Homebuilding,41.21
