ville_id,ville,lat,lon,,,,
1,Abbeville,50.10547,1.83683,,,,
2,AGDE,43.3088,3.47681,,,,
3,AGEN,44.20314,0.61636,,,,
4,Aigurande,46.43401,1.8286,,,,
5,AIME,45.55598,6.65213,,,,
6,AIX EN PROVENCE,43.52974,5.44743,,,,
7,AIX LES BAINS,45.69234,5.909,,,,
8,AJACCIO,41.91923,8.73864,,,,
9,ALBERTVILLE,45.67554,6.39273,,,,
10,ALBI,43.92509,2.14864,,,,
11,ALENCON,48.43286,0.09127,,,,
12,ALES,44.1272,4.08335,,,,
13,ALFORTVILLE,48.80093,2.42232,,,,
14,Alpe d'Huez,45.09091,6.06477,,,,
15,ALTKIRCH,47.62039,7.24304,,,,
16,AMBERES,51.19578,4.40201,,,,
17,AMIENS,49.89407,2.29575,,,,
18,AMSTERDAM,52.37587,4.90127,,,,
19,ANCENIS,47.36546,-1.17749,,,,
20,ANDORRA,42.61441,2.09729,,,,
21,Andorra la Vella,42.50632,1.52184,,,,
22,ANGERS,47.47842,-0.56317,,,,
23,ANGOULEME,45.64838,0.15624,,,,
24,ANNECY,45.89925,6.12938,,,,
25,ANNEMASSE,46.19325,6.23416,,,,
26,Annonay Davezieux,45.25507,4.69715,,,,
27,ANTIBES,43.58042,7.1251,,,,
28,ANTONY,48.75926,2.30255,,,,
29,AOSTA,44.71386,5.05661,,,,
30,ARBOIS,46.90285,5.77234,,,,
31,ARC ET SENANS,47.03318,5.77763,,,,
32,ARCACHON,44.6523,-1.1785,,,,
33,ARCALIS,42.35399,1.08406,,,,
34,Arenberg,50.40559,3.40598,,,,
35,ARGELES,42.54621,3.02291,,,,
36,ARGELES GAZOST,43.00503,-0.10109,,,,
37,ARGENTAN,48.744,-0.01657,,,,
38,ARLON,49.68514,5.81048,,,,
39,ARMENTIERES,50.69165,2.88422,,,,
40,ARPAJON,48.58917,2.24624,,,,
41,ARRAS,50.291,2.77754,,,,
42,AUBAGNE,43.29268,5.56764,,,,
43,AUBENAS,44.62091,4.38986,,,,
44,AUCH,43.64638,0.58671,,,,
